"variable" "area"
"BroHord" "A10_16"
"CerGlom" "A10_16"
"CirArve" "A10_16"
"DacGlom" "A10_16"
"DauCaro" "A10_16"
"FesPrat" "A10_16"
"GalAlbu" "A10_16"
"GleHede" "A10_16"
"HolLana" "A10_16"
"LeuIrcu" "A10_16"
"LolPere" "A10_16"
"MedLupu" "A10_16"
"PlaLanc" "A10_16"
"PoaTriv" "A10_16"
"RanAcri" "A10_16"
"RanRepe" "A10_16"
"TarRude" "A10_16"
"TriPrat" "A10_16"
"TriRepe" "A10_16"
"TriFlav" "A10_16"
"VerArve" "A10_16"
"VerCham" "A10_16"
"AloPrat" "A11_16"
"AntSylv" "A11_16"
"ArrElat" "A11_16"
"BroErec" "A11_16"
"CerGlom" "A11_16"
"CerHolo" "A11_16"
"ConArve" "A11_16"
"CreBien" "A11_16"
"CynCris" "A11_16"
"DacGlom" "A11_16"
"DauCaro" "A11_16"
"FesPrat" "A11_16"
"GalAlbu" "A11_16"
"GerMoll" "A11_16"
"GleHede" "A11_16"
"HerSpho" "A11_16"
"KnaArve" "A11_16"
"LeuIrcu" "A11_16"
"LolPere" "A11_16"
"MedLupu" "A11_16"
"MyoArve" "A11_16"
"PhlPrat" "A11_16"
"PlaLanc" "A11_16"
"PoaPrat" "A11_16"
"PoaTriv" "A11_16"
"RanSpec" "A11_16"
"RumAcet" "A11_16"
"TarRude" "A11_16"
"TraPrat" "A11_16"
"TriDubi" "A11_16"
"TriPrat" "A11_16"
"TriRepe" "A11_16"
"TriFlav" "A11_16"
"ValLocu" "A11_16"
"VerArve" "A11_16"
"VicAngu" "A11_16"
"AntOdor" "A111_16"
"BriMedi" "A111_16"
"BroErec" "A111_16"
"CarFlac" "A111_16"
"CerGlom" "A111_16"
"DacGlom" "A111_16"
"FesRubr" "A111_16"
"GalVeru" "A111_16"
"GleHede" "A111_16"
"HelPube" "A111_16"
"HerSpho" "A111_16"
"HolLana" "A111_16"
"KnaArve" "A111_16"
"LatPrat" "A111_16"
"LuzCamp" "A111_16"
"PlaLaet" "A111_16"
"PlaLanc" "A111_16"
"PoaTriv" "A111_16"
"PriVeri" "A111_16"
"QueRobu" "A111_16"
"RanAcri" "A111_16"
"RanBulb" "A111_16"
"RumAcet" "A111_16"
"SanMino" "A111_16"
"TriDubi" "A111_16"
"TriPrat" "A111_16"
"TriRepe" "A111_16"
"TriFlav" "A111_16"
"VerCham" "A111_16"
"VicSepi" "A111_16"
"AntOdor" "A115_16"
"ArrElat" "A115_16"
"BriMedi" "A115_16"
"BroErec" "A115_16"
"CreBien" "A115_16"
"CynCris" "A115_16"
"DacGlom" "A115_16"
"FesPrat" "A115_16"
"FesRubr" "A115_16"
"HelPube" "A115_16"
"HolLana" "A115_16"
"KnaArve" "A115_16"
"LolPere" "A115_16"
"LuzCamp" "A115_16"
"PlaLanc" "A115_16"
"PoaAngu" "A115_16"
"PoaPrat" "A115_16"
"PoaTriv" "A115_16"
"PriVeri" "A115_16"
"QueRobu" "A115_16"
"RanAcri" "A115_16"
"RanBulb" "A115_16"
"SanMino" "A115_16"
"TarRude" "A115_16"
"TriFlav" "A115_16"
"VerCham" "A115_16"
"ArrElat" "A18_16"
"BroErec" "A18_16"
"ConArve" "A18_16"
"CreBien" "A18_16"
"DacGlom" "A18_16"
"GalAlbu" "A18_16"
"LeuIrcu" "A18_16"
"LolPere" "A18_16"
"PhlPrat" "A18_16"
"PlaLanc" "A18_16"
"PoaPrat" "A18_16"
"RanBulb" "A18_16"
"RumAcet" "A18_16"
"TarRude" "A18_16"
"TraPrat" "A18_16"
"TriDubi" "A18_16"
"TriPrat" "A18_16"
"TriRepe" "A18_16"
"TriFlav" "A18_16"
"VerArve" "A18_16"
"VicAngu" "A18_16"
"AloPrat" "A19_16"
"ArrElat" "A19_16"
"BroErec" "A19_16"
"CarPrat" "A19_16"
"CirVulg" "A19_16"
"DacGlom" "A19_16"
"FesPrat" "A19_16"
"FesRubr" "A19_16"
"GalAlbu" "A19_16"
"GleHede" "A19_16"
"HelPube" "A19_16"
"HolLana" "A19_16"
"LatPrat" "A19_16"
"MyoArve" "A19_16"
"PhlPrat" "A19_16"
"PoaPrat" "A19_16"
"PoaTriv" "A19_16"
"RanBulb" "A19_16"
"TriFlav" "A19_16"
"VerHede" "A19_16"
"AchMill" "A25_16"
"AloPrat" "A25_16"
"AntOdor" "A25_16"
"ArrElat" "A25_16"
"BroErec" "A25_16"
"BroHord" "A25_16"
"BroSter" "A25_16"
"CenJace" "A25_16"
"CerGlom" "A25_16"
"CerHolo" "A25_16"
"ConArve" "A25_16"
"DacGlom" "A25_16"
"FesPrat" "A25_16"
"FesRubr" "A25_16"
"FraViri" "A25_16"
"FraExce" "A25_16"
"GalAlbu" "A25_16"
"GerDiss" "A25_16"
"GleHede" "A25_16"
"HolLana" "A25_16"
"KnaArve" "A25_16"
"LatPrat" "A25_16"
"LeuIrcu" "A25_16"
"LolPere" "A25_16"
"LotCorn" "A25_16"
"MedLupu" "A25_16"
"MyoArve" "A25_16"
"PlaLanc" "A25_16"
"PlaMajo" "A25_16"
"PoaAngu" "A25_16"
"PoaPrat" "A25_16"
"PoaTriv" "A25_16"
"PotRept" "A25_16"
"PriVeri" "A25_16"
"PruAviu" "A25_16"
"RanAcri" "A25_16"
"RanBulb" "A25_16"
"RhiMino" "A25_16"
"RosSpec" "A25_16"
"RumAcet" "A25_16"
"SteGram" "A25_16"
"TarEryt" "A25_16"
"TarRude" "A25_16"
"TraPrat" "A25_16"
"TriDubi" "A25_16"
"TriPrat" "A25_16"
"TriRepe" "A25_16"
"TriFlav" "A25_16"
"VerCham" "A25_16"
"VicAngu" "A25_16"
"VicSepi" "A25_16"
"VioHirt" "A25_16"
"AchMill" "A34_16"
"AllVine" "A34_16"
"AloPrat" "A34_16"
"ArrElat" "A34_16"
"BelPere" "A34_16"
"BroErec" "A34_16"
"CerHolo" "A34_16"
"ConArve" "A34_16"
"CreBien" "A34_16"
"DacGlom" "A34_16"
"FesRubr" "A34_16"
"GalAlbu" "A34_16"
"HolLana" "A34_16"
"LatPrat" "A34_16"
"LolPere" "A34_16"
"PlaLanc" "A34_16"
"PoaPrat" "A34_16"
"PoaTriv" "A34_16"
"RanBulb" "A34_16"
"RhiMino" "A34_16"
"RumAcet" "A34_16"
"TarRude" "A34_16"
"TraPrat" "A34_16"
"TriFlav" "A34_16"
"VicCrac" "A34_16"
"AloPrat" "A40_16"
"AntOdor" "A40_16"
"ArrElat" "A40_16"
"BroHord" "A40_16"
"CerHolo" "A40_16"
"CynCris" "A40_16"
"DacGlom" "A40_16"
"DauCaro" "A40_16"
"FesPrat" "A40_16"
"FesRubr" "A40_16"
"GalAlbu" "A40_16"
"HelPube" "A40_16"
"HolLana" "A40_16"
"KnaArve" "A40_16"
"LolPere" "A40_16"
"PhlPrat" "A40_16"
"PlaLanc" "A40_16"
"PoaTriv" "A40_16"
"RanAcri" "A40_16"
"RhiMino" "A40_16"
"RumAcet" "A40_16"
"TarRude" "A40_16"
"TriPrat" "A40_16"
"TriRepe" "A40_16"
"TriFlav" "A40_16"
"VerCham" "A40_16"
"AntOdor" "A71_16"
"ArrElat" "A71_16"
"BelPere" "A71_16"
"BroErec" "A71_16"
"CerHolo" "A71_16"
"CynCris" "A71_16"
"DacGlom" "A71_16"
"FesRubr" "A71_16"
"GalAlbu" "A71_16"
"HelPube" "A71_16"
"HolLana" "A71_16"
"KnaArve" "A71_16"
"LeuIrcu" "A71_16"
"LolPere" "A71_16"
"PimSaxi" "A71_16"
"PlaLanc" "A71_16"
"PoaPrat" "A71_16"
"PoaTriv" "A71_16"
"PriVeri" "A71_16"
"RanBulb" "A71_16"
"RumAcet" "A71_16"
"TriDubi" "A71_16"
"TriPrat" "A71_16"
"TriRepe" "A71_16"
"TriFlav" "A71_16"
"AjuRept" "A73_16"
"AntOdor" "A73_16"
"BroErec" "A73_16"
"CarPrat" "A73_16"
"CynCris" "A73_16"
"DacGlom" "A73_16"
"FesPrat" "A73_16"
"FesRubr" "A73_16"
"GalAlbu" "A73_16"
"HelPube" "A73_16"
"HolLana" "A73_16"
"LatPrat" "A73_16"
"LuzMult" "A73_16"
"PimSaxi" "A73_16"
"PlaLanc" "A73_16"
"PoaPrat" "A73_16"
"PoaTriv" "A73_16"
"RanAcri" "A73_16"
"RumAcet" "A73_16"
"TarRude" "A73_16"
"TriPrat" "A73_16"
"TriRepe" "A73_16"
"TriFlav" "A73_16"
"VerCham" "A73_16"
"AceCamp" "A76_16"
"AloPrat" "A76_16"
"AntOdor" "A76_16"
"ArrElat" "A76_16"
"BroErec" "A76_16"
"CerHolo" "A76_16"
"CraLaev" "A76_16"
"CreBien" "A76_16"
"DacGlom" "A76_16"
"FesPrat" "A76_16"
"FesRubr" "A76_16"
"GalAlbu" "A76_16"
"HelPube" "A76_16"
"HolLana" "A76_16"
"KnaArve" "A76_16"
"LolPere" "A76_16"
"LuzCamp" "A76_16"
"PimSaxi" "A76_16"
"PlaLanc" "A76_16"
"PoaAngu" "A76_16"
"RanBulb" "A76_16"
"RanRepe" "A76_16"
"RhiMino" "A76_16"
"RumAcet" "A76_16"
"TarRude" "A76_16"
"TraPrat" "A76_16"
"TriPrat" "A76_16"
"TriRepe" "A76_16"
"TriFlav" "A76_16"
"VerCham" "A76_16"
"AchMill" "A78_16"
"AgrEupa" "A78_16"
"ArrElat" "A78_16"
"BriMedi" "A78_16"
"BroErec" "A78_16"
"CreBien" "A78_16"
"DacGlom" "A78_16"
"DauCaro" "A78_16"
"FesPrat" "A78_16"
"GalAlbu" "A78_16"
"GalVeru" "A78_16"
"HypPerf" "A78_16"
"KnaArve" "A78_16"
"LeoAutu" "A78_16"
"LinCath" "A78_16"
"LolPere" "A78_16"
"LotCorn" "A78_16"
"MedLupu" "A78_16"
"PimSaxi" "A78_16"
"PlaLanc" "A78_16"
"PlaMajo" "A78_16"
"PlaMedi" "A78_16"
"PoaPrat" "A78_16"
"PoaTriv" "A78_16"
"PriVeri" "A78_16"
"RanAcri" "A78_16"
"RanBulb" "A78_16"
"SanMino" "A78_16"
"SilPusi" "A78_16"
"TarRude" "A78_16"
"TraPrat" "A78_16"
"TriPrat" "A78_16"
"TriRepe" "A78_16"
"TriFlav" "A78_16"
"VioHirt" "A78_16"
"AchMill" "A82_16"
"AntOdor" "A82_16"
"ArrElat" "A82_16"
"BroErec" "A82_16"
"BroHord" "A82_16"
"CerGlom" "A82_16"
"CerHolo" "A82_16"
"CreBien" "A82_16"
"DacGlom" "A82_16"
"FesPrat" "A82_16"
"FesRubr" "A82_16"
"FraVesc" "A82_16"
"GalAlbu" "A82_16"
"HelPube" "A82_16"
"HolLana" "A82_16"
"HypPerf" "A82_16"
"LeuIrcu" "A82_16"
"LotCorn" "A82_16"
"LuzCamp" "A82_16"
"MyoArve" "A82_16"
"PimMajo" "A82_16"
"PimSaxi" "A82_16"
"PlaLanc" "A82_16"
"PoaAngu" "A82_16"
"PriVeri" "A82_16"
"RanAcri" "A82_16"
"RhiMino" "A82_16"
"RumAcet" "A82_16"
"SanMino" "A82_16"
"TriDubi" "A82_16"
"TriPrat" "A82_16"
"TriRepe" "A82_16"
"TriFlav" "A82_16"
"ValLocu" "A82_16"
"VerArve" "A82_16"
"VerCham" "A82_16"
"VicAngu" "A82_16"
"VicSepi" "A82_16"
"AllVine" "A88_16"
"AraThal" "A88_16"
"ArrElat" "A88_16"
"BroErec" "A88_16"
"BroSter" "A88_16"
"CerArve" "A88_16"
"CerGlom" "A88_16"
"CerHolo" "A88_16"
"CirVulg" "A88_16"
"ConArve" "A88_16"
"DacGlom" "A88_16"
"DauCaro" "A88_16"
"FesPrat" "A88_16"
"FesRubr" "A88_16"
"GalAlbu" "A88_16"
"GeuUrba" "A88_16"
"HypPerf" "A88_16"
"KnaArve" "A88_16"
"LeuIrcu" "A88_16"
"LinCath" "A88_16"
"LotCorn" "A88_16"
"MedLupu" "A88_16"
"MyoArve" "A88_16"
"PlaLanc" "A88_16"
"PlaMedi" "A88_16"
"PoaPrat" "A88_16"
"PoaTriv" "A88_16"
"PriVeri" "A88_16"
"RanBulb" "A88_16"
"RosSpec" "A88_16"
"RumAcet" "A88_16"
"SanMino" "A88_16"
"TarRude" "A88_16"
"ThlPerf" "A88_16"
"TraPrat" "A88_16"
"TriDubi" "A88_16"
"TriPrat" "A88_16"
"UrtDioi" "A88_16"
"ValCari" "A88_16"
"VerCham" "A88_16"
"VicAngu" "A88_16"
"VioHirt" "A88_16"
"AloPrat" "A90_16"
"ArrElat" "A90_16"
"BroErec" "A90_16"
"BroHord" "A90_16"
"CalSepi" "A90_16"
"CerHolo" "A90_16"
"DacGlom" "A90_16"
"GalAlbu" "A90_16"
"LolPere" "A90_16"
"PimMajo" "A90_16"
"PimSaxi" "A90_16"
"PlaLanc" "A90_16"
"PoaPrat" "A90_16"
"PoaTriv" "A90_16"
"RosSpec" "A90_16"
"RumAcet" "A90_16"
"TriDubi" "A90_16"
"TriPrat" "A90_16"
"TriRepe" "A90_16"
"TriFlav" "A90_16"
"ValLocu" "A90_16"
"VerArve" "A90_16"
"VicCrac" "A90_16"
"AchMill" "A95_16"
"AllVine" "A95_16"
"AntOdor" "A95_16"
"AntSylv" "A95_16"
"ArrElat" "A95_16"
"BroErec" "A95_16"
"CarBetu" "A95_16"
"CerHolo" "A95_16"
"CorAvel" "A95_16"
"DacGlom" "A95_16"
"FesPrat" "A95_16"
"GalAlbu" "A95_16"
"GerDiss" "A95_16"
"GleHede" "A95_16"
"HelPube" "A95_16"
"HerSpho" "A95_16"
"HolLana" "A95_16"
"LatPrat" "A95_16"
"LuzCamp" "A95_16"
"MedLupu" "A95_16"
"PlaLanc" "A95_16"
"PoaAngu" "A95_16"
"PoaPrat" "A95_16"
"PoaTriv" "A95_16"
"PriVeri" "A95_16"
"QueRobu" "A95_16"
"RanAcri" "A95_16"
"RanBulb" "A95_16"
"RumAcet" "A95_16"
"TarRude" "A95_16"
"TriPrat" "A95_16"
"TriFlav" "A95_16"
"VerCham" "A95_16"
"VicSepi" "A95_16"
"ArrElat" "A98_16"
"CerHolo" "A98_16"
"CreBien" "A98_16"
"DacGlom" "A98_16"
"FesRubr" "A98_16"
"GalAlbu" "A98_16"
"HolLana" "A98_16"
"HypPerf" "A98_16"
"KnaArve" "A98_16"
"LatPrat" "A98_16"
"PimMajo" "A98_16"
"PlaLanc" "A98_16"
"PoaPrat" "A98_16"
"PoaTriv" "A98_16"
"PriVeri" "A98_16"
"RanAcri" "A98_16"
"RubFrut" "A98_16"
"RumAcet" "A98_16"
"TarRude" "A98_16"
"TriFlav" "A98_16"
"VerCham" "A98_16"
"VicSepi" "A98_16"
"VioHirt" "A98_16"
"ArrElat" "G10_16"
"BriMedi" "G10_16"
"BroErec" "G10_16"
"BroHord" "G10_16"
"CarFlac" "G10_16"
"CarBetu" "G10_16"
"CerGlom" "G10_16"
"CraMono" "G10_16"
